Plant_ID,Plant_Type,Leaf_Color,Leaf_Spot_Size,Humidity,Temperature,Disease_Status
3141,Potato,Green,1.69,50.58,18.9,Healthy
3142,Cucumber,Dark Green,1.21,49.74,19.95,Healthy
3143,Tomato,Dark Green,3.3,89.18,20.83,Mild Infection
3144,Pepper,Green,6.88,45.08,28.59,Healthy
3145,Cucumber,Dark Green,0.03,48.63,26.3,Healthy
3146,Cucumber,Green,9.86,44.65,31.14,Healthy
3147,Pepper,Yellowish,7.6,90.82,23.19,Severe Infection
3148,Potato,Dark Green,2.52,81.11,18.81,Healthy
3149,Pepper,Yellowish,5.32,89.24,29.26,Mild Infection
3150,Tomato,Dark Green,2.42,64.61,29.72,Healthy
3151,Tomato,Yellowish,3.22,60.75,18.44,Mild Infection
3152,Pepper,Dark Green,8.91,58.01,20.63,Healthy
3153,Cucumber,Green,4.98,77.35,35.36,Mild Infection
3154,Pepper,Yellowish,5.87,80.53,30.27,Mild Infection
3155,Cucumber,Yellowish,9.0,60.83,25.42,Mild Infection
3156,Cucumber,Dark Green,3.3,53.44,28.96,Healthy
3157,Tomato,Green,3.65,40.41,22.96,Healthy
3158,Cucumber,Dark Green,1.73,50.26,24.27,Healthy
3159,Pepper,Green,4.1,44.41,29.54,Healthy
3160,Cucumber,Yellowish,9.17,89.31,30.67,Severe Infection
3161,Pepper,Dark Green,7.23,93.63,28.8,Severe Infection
3162,Potato,Green,4.77,79.52,29.77,Mild Infection
3163,Tomato,Green,4.25,50.29,25.12,Healthy
3164,Tomato,Green,7.68,69.14,33.56,Mild Infection
3165,Potato,Green,3.21,67.84,38.5,Mild Infection
3166,Pepper,Green,5.49,60.31,27.99,Mild Infection
3167,Potato,Dark Green,2.55,57.73,35.82,Healthy
3168,Tomato,Green,4.72,81.81,31.1,Mild Infection
3169,Pepper,Yellowish,8.31,59.19,38.45,Healthy
3170,Cucumber,Dark Green,9.38,46.84,34.08,Healthy
3171,Cucumber,Yellowish,5.74,43.66,34.3,Healthy
3172,Cucumber,Green,2.02,47.69,35.5,Healthy
3173,Potato,Yellowish,6.65,49.03,35.92,Healthy
3174,Potato,Dark Green,3.92,59.74,37.3,Healthy
3175,Cucumber,Yellowish,6.24,79.26,37.79,Severe Infection
3176,Tomato,Yellowish,3.55,64.13,30.7,Mild Infection
3177,Pepper,Yellowish,2.29,69.25,19.47,Healthy
3178,Pepper,Yellowish,7.31,63.73,25.32,Mild Infection
3179,Potato,Yellowish,7.41,88.32,28.9,Severe Infection
3180,Pepper,Green,2.48,48.34,24.86,Healthy
3181,Pepper,Green,7.62,41.84,30.54,Healthy
3182,Pepper,Dark Green,1.11,58.81,36.07,Healthy
3183,Cucumber,Green,7.97,47.01,26.74,Healthy
3184,Tomato,Green,7.2,52.61,33.89,Healthy
3185,Pepper,Yellowish,2.52,78.17,29.94,Healthy
3186,Tomato,Yellowish,2.27,92.75,25.54,Healthy
3187,Pepper,Yellowish,9.12,55.84,31.53,Healthy
3188,Cucumber,Dark Green,7.26,45.54,23.63,Healthy
3189,Pepper,Green,1.53,90.74,33.56,Healthy
3190,Cucumber,Yellowish,7.36,73.37,27.33,Mild Infection
3191,Cucumber,Green,1.13,90.91,27.92,Healthy
3192,Tomato,Dark Green,9.21,86.14,20.74,Severe Infection
3193,Pepper,Dark Green,3.99,68.54,31.01,Mild Infection
3194,Tomato,Green,0.05,58.44,35.66,Healthy
3195,Tomato,Yellowish,9.2,61.9,29.82,Mild Infection
3196,Potato,Yellowish,4.52,59.08,34.23,Healthy
3197,Pepper,Yellowish,1.76,64.88,21.1,Healthy
3198,Pepper,Dark Green,7.8,41.86,24.85,Healthy
3199,Pepper,Dark Green,5.15,52.11,22.68,Healthy
3200,Tomato,Green,0.85,48.18,27.12,Healthy
3201,Tomato,Green,3.97,56.48,24.82,Healthy
3202,Pepper,Yellowish,4.68,83.99,25.69,Mild Infection
3203,Tomato,Green,5.87,60.77,36.4,Mild Infection
3204,Tomato,Dark Green,5.34,79.27,29.61,Mild Infection
3205,Tomato,Dark Green,1.03,67.34,34.84,Healthy
3206,Cucumber,Green,2.72,44.15,34.57,Healthy
3207,Pepper,Dark Green,9.79,68.96,35.62,Mild Infection
3208,Cucumber,Dark Green,5.52,87.68,26.98,Mild Infection
3209,Pepper,Yellowish,1.04,76.95,18.43,Healthy
3210,Pepper,Green,2.38,49.82,32.36,Healthy
3211,Potato,Yellowish,8.56,53.37,33.89,Healthy
3212,Pepper,Green,3.24,47.76,26.94,Healthy
3213,Potato,Yellowish,8.48,74.83,34.19,Mild Infection
3214,Cucumber,Green,7.04,88.2,32.14,Severe Infection
3215,Tomato,Yellowish,8.25,74.36,25.39,Mild Infection
3216,Pepper,Yellowish,3.45,41.88,36.27,Healthy
3217,Cucumber,Dark Green,2.2,59.95,36.94,Healthy
3218,Potato,Dark Green,5.66,82.89,20.51,Mild Infection
3219,Pepper,Dark Green,4.85,65.91,22.01,Mild Infection
3220,Tomato,Dark Green,4.03,80.79,33.37,Mild Infection
3221,Tomato,Dark Green,1.32,75.48,27.28,Healthy
3222,Tomato,Green,8.23,78.02,33.03,Severe Infection
3223,Cucumber,Green,0.67,84.83,28.96,Healthy
3224,Tomato,Green,1.07,67.36,33.84,Healthy
3225,Potato,Green,7.32,54.5,23.86,Healthy
3226,Potato,Green,9.14,76.58,21.86,Severe Infection
3227,Potato,Green,0.47,61.07,29.42,Healthy
3228,Cucumber,Dark Green,6.03,80.59,19.82,Severe Infection
3229,Potato,Green,3.56,61.41,24.35,Mild Infection
3230,Tomato,Yellowish,4.76,56.34,30.46,Healthy
3231,Pepper,Dark Green,2.7,47.43,28.64,Healthy
3232,Pepper,Yellowish,4.96,72.73,19.13,Mild Infection
3233,Tomato,Yellowish,1.07,58.38,34.96,Healthy
3234,Tomato,Green,5.98,62.7,33.51,Mild Infection
3235,Tomato,Yellowish,0.02,44.18,19.71,Healthy
3236,Pepper,Dark Green,3.15,40.29,20.27,Healthy
3237,Pepper,Yellowish,6.91,92.92,35.38,Severe Infection
3238,Tomato,Yellowish,7.58,44.77,39.08,Healthy
3239,Pepper,Green,6.37,81.75,33.93,Severe Infection
3240,Cucumber,Green,6.93,89.69,32.23,Severe Infection
3241,Tomato,Green,5.88,76.85,18.97,Mild Infection
3242,Tomato,Yellowish,3.13,70.57,28.41,Mild Infection
3243,Pepper,Green,1.15,80.21,22.24,Healthy
3244,Pepper,Yellowish,0.55,83.74,34.39,Healthy
3245,Pepper,Dark Green,6.5,68.73,32.18,Mild Infection
3246,Cucumber,Yellowish,8.85,70.84,28.58,Mild Infection
3247,Pepper,Dark Green,3.15,79.86,19.44,Mild Infection
3248,Tomato,Green,5.2,76.39,34.23,Mild Infection
3249,Tomato,Dark Green,4.62,88.22,27.19,Mild Infection
3250,Potato,Dark Green,3.84,40.01,22.08,Healthy
3251,Cucumber,Yellowish,0.53,43.85,18.21,Healthy
3252,Tomato,Green,5.81,42.07,28.56,Healthy
3253,Cucumber,Yellowish,3.36,61.91,20.02,Mild Infection
3254,Cucumber,Green,4.67,80.27,18.07,Mild Infection
3255,Cucumber,Dark Green,5.89,86.91,33.74,Mild Infection
3256,Cucumber,Green,1.09,90.07,18.99,Healthy
3257,Tomato,Yellowish,0.89,92.25,35.3,Healthy
3258,Potato,Yellowish,4.67,88.35,38.78,Mild Infection
3259,Tomato,Dark Green,2.32,49.19,39.81,Healthy
3260,Cucumber,Green,5.13,75.73,31.37,Mild Infection
3261,Potato,Yellowish,1.86,49.71,22.85,Healthy
3262,Pepper,Dark Green,2.16,84.04,31.86,Healthy
3263,Tomato,Yellowish,2.6,72.85,29.55,Healthy
3264,Pepper,Dark Green,8.97,67.02,39.92,Mild Infection
3265,Pepper,Dark Green,0.35,74.26,34.45,Healthy
3266,Cucumber,Dark Green,3.91,87.31,28.06,Mild Infection
3267,Pepper,Green,8.62,88.88,39.02,Severe Infection
3268,Tomato,Yellowish,0.87,76.04,30.12,Healthy
3269,Cucumber,Yellowish,0.49,40.28,33.31,Healthy
3270,Potato,Dark Green,8.94,92.92,20.41,Severe Infection
3271,Tomato,Green,5.16,43.38,37.42,Healthy
3272,Pepper,Dark Green,5.44,71.42,32.57,Mild Infection
3273,Tomato,Green,8.68,80.37,29.47,Severe Infection
3274,Cucumber,Green,3.34,48.65,21.53,Healthy
3275,Tomato,Green,6.99,91.15,20.33,Severe Infection
3276,Cucumber,Yellowish,4.65,88.49,39.15,Mild Infection
3277,Pepper,Yellowish,2.29,40.28,36.04,Healthy
3278,Pepper,Yellowish,7.57,40.06,30.24,Healthy
3279,Cucumber,Yellowish,3.26,50.62,19.85,Healthy
3280,Tomato,Green,0.09,46.37,26.29,Healthy
3281,Tomato,Yellowish,0.18,47.06,24.23,Healthy
3282,Tomato,Dark Green,9.32,58.8,31.92,Healthy
3283,Tomato,Dark Green,0.68,91.55,33.13,Healthy
3284,Pepper,Green,4.74,82.4,33.59,Mild Infection
3285,Potato,Dark Green,9.9,44.11,36.75,Healthy
3286,Pepper,Green,5.94,64.53,32.25,Mild Infection
3287,Cucumber,Yellowish,3.72,43.61,36.07,Healthy
3288,Cucumber,Yellowish,1.59,53.89,18.02,Healthy
3289,Potato,Green,8.54,91.94,20.25,Severe Infection
3290,Pepper,Yellowish,8.4,85.43,24.56,Severe Infection
3291,Pepper,Dark Green,8.68,52.65,20.89,Healthy
3292,Potato,Green,6.39,91.9,27.23,Severe Infection
3293,Potato,Yellowish,4.09,55.08,39.65,Healthy
3294,Cucumber,Dark Green,0.31,52.65,22.69,Healthy
3295,Tomato,Dark Green,9.68,87.54,28.41,Severe Infection
3296,Potato,Green,7.71,87.77,35.09,Severe Infection
3297,Potato,Dark Green,1.31,81.86,31.78,Healthy
3298,Tomato,Dark Green,4.82,73.92,35.52,Mild Infection
3299,Potato,Yellowish,4.3,46.89,33.08,Healthy
3300,Potato,Green,3.26,48.85,32.33,Healthy
3301,Potato,Yellowish,4.65,94.14,21.29,Mild Infection
3302,Potato,Dark Green,2.92,66.4,31.2,Healthy
3303,Tomato,Green,0.4,87.31,35.16,Healthy
3304,Potato,Yellowish,9.87,45.77,23.32,Healthy
3305,Cucumber,Yellowish,7.02,67.44,31.6,Mild Infection
3306,Potato,Dark Green,0.88,57.96,29.39,Healthy
3307,Tomato,Dark Green,3.97,41.83,19.73,Healthy
3308,Potato,Dark Green,8.01,71.21,33.17,Mild Infection
3309,Potato,Dark Green,6.36,49.21,20.3,Healthy
3310,Pepper,Yellowish,0.52,41.74,38.6,Healthy
3311,Cucumber,Green,7.14,79.0,37.16,Severe Infection
3312,Potato,Dark Green,6.61,73.67,28.66,Mild Infection
3313,Cucumber,Dark Green,6.44,84.95,27.95,Severe Infection
3314,Tomato,Dark Green,5.93,64.12,33.95,Mild Infection
3315,Cucumber,Green,3.29,66.36,31.55,Mild Infection
3316,Potato,Green,6.59,50.02,35.37,Healthy
3317,Pepper,Dark Green,3.32,41.15,32.37,Healthy
3318,Cucumber,Green,4.03,67.13,19.79,Mild Infection
3319,Tomato,Green,8.4,63.01,22.48,Mild Infection
3320,Tomato,Dark Green,8.46,92.84,27.15,Severe Infection
3321,Tomato,Dark Green,8.67,94.32,18.88,Severe Infection
3322,Cucumber,Green,4.87,64.12,33.96,Mild Infection
3323,Potato,Yellowish,2.77,89.54,27.28,Healthy
3324,Pepper,Dark Green,6.23,90.18,22.63,Severe Infection
3325,Cucumber,Green,7.16,80.32,20.89,Severe Infection
3326,Cucumber,Dark Green,9.71,49.88,23.23,Healthy
3327,Pepper,Green,2.47,86.99,28.83,Healthy
3328,Cucumber,Green,3.59,64.49,29.33,Mild Infection
3329,Potato,Yellowish,9.69,48.99,26.6,Healthy
3330,Potato,Yellowish,7.73,76.12,25.15,Severe Infection
3331,Cucumber,Green,8.84,53.04,23.16,Healthy
3332,Potato,Dark Green,6.69,58.2,27.87,Healthy
3333,Tomato,Green,9.49,64.72,30.93,Mild Infection
3334,Tomato,Dark Green,7.36,49.22,18.81,Healthy
3335,Tomato,Green,4.46,83.0,33.52,Mild Infection
3336,Pepper,Yellowish,0.34,70.7,29.88,Healthy
3337,Potato,Dark Green,0.52,46.76,23.08,Healthy
3338,Tomato,Yellowish,0.89,52.36,21.96,Healthy
3339,Tomato,Green,3.97,72.16,33.14,Mild Infection
3340,Potato,Yellowish,6.39,40.27,38.94,Healthy
3341,Tomato,Yellowish,4.89,65.01,29.34,Mild Infection
3342,Cucumber,Dark Green,3.08,47.68,18.66,Healthy
3343,Cucumber,Dark Green,9.7,51.1,32.82,Healthy
3344,Tomato,Yellowish,8.68,76.99,27.76,Severe Infection
3345,Potato,Yellowish,9.45,78.09,36.44,Severe Infection
3346,Potato,Dark Green,8.69,67.34,31.59,Mild Infection
3347,Cucumber,Green,6.9,41.67,38.48,Healthy
3348,Tomato,Green,3.94,51.86,32.5,Healthy
3349,Tomato,Green,9.99,45.86,32.47,Healthy
3350,Potato,Yellowish,8.71,93.74,26.95,Severe Infection
3351,Tomato,Green,8.79,71.19,34.25,Mild Infection
3352,Tomato,Dark Green,8.08,57.99,32.69,Healthy
3353,Potato,Green,8.18,83.88,27.58,Severe Infection
3354,Cucumber,Dark Green,3.25,69.95,18.13,Mild Infection
3355,Cucumber,Dark Green,3.89,61.79,33.3,Mild Infection
3356,Tomato,Green,2.27,53.06,26.21,Healthy
3357,Potato,Yellowish,6.19,73.19,32.7,Mild Infection
3358,Potato,Green,5.19,60.89,36.99,Mild Infection
3359,Potato,Green,1.49,84.76,20.4,Healthy
3360,Cucumber,Green,3.94,53.53,28.49,Healthy
3361,Pepper,Dark Green,5.21,81.08,33.74,Mild Infection
3362,Tomato,Yellowish,0.71,63.7,37.73,Healthy
3363,Pepper,Green,1.97,76.01,26.36,Healthy
3364,Tomato,Dark Green,6.17,50.7,21.66,Healthy
3365,Tomato,Dark Green,5.39,56.9,35.67,Healthy
3366,Cucumber,Dark Green,2.73,73.57,33.76,Healthy
3367,Cucumber,Dark Green,6.81,46.7,21.99,Healthy
3368,Potato,Yellowish,1.07,68.88,33.6,Healthy
3369,Potato,Green,4.84,54.11,39.18,Healthy
3370,Pepper,Dark Green,6.33,70.26,18.96,Mild Infection
3371,Pepper,Green,8.84,73.09,36.02,Mild Infection
3372,Tomato,Dark Green,4.11,51.66,31.44,Healthy
3373,Tomato,Dark Green,2.37,89.5,25.78,Healthy
3374,Tomato,Dark Green,6.71,80.26,36.73,Severe Infection
3375,Tomato,Dark Green,4.24,82.17,21.29,Mild Infection
3376,Tomato,Yellowish,4.73,52.94,37.12,Healthy
3377,Tomato,Green,2.3,49.81,24.87,Healthy
3378,Pepper,Yellowish,5.94,52.76,26.6,Healthy
3379,Potato,Green,6.95,94.33,21.0,Severe Infection
3380,Pepper,Dark Green,6.92,63.55,33.79,Mild Infection
3381,Pepper,Dark Green,5.78,45.73,33.94,Healthy
3382,Pepper,Green,8.94,44.37,19.88,Healthy
3383,Pepper,Green,3.55,57.79,22.99,Healthy
3384,Cucumber,Green,8.0,68.55,19.49,Mild Infection
3385,Pepper,Green,6.8,54.91,31.04,Healthy
3386,Cucumber,Green,0.52,65.13,22.19,Healthy
3387,Cucumber,Dark Green,4.46,59.96,39.9,Healthy
3388,Cucumber,Dark Green,1.75,70.93,39.07,Healthy
3389,Pepper,Yellowish,0.97,51.05,29.79,Healthy
3390,Tomato,Yellowish,6.65,81.59,25.65,Severe Infection
3391,Cucumber,Yellowish,3.99,90.99,23.16,Mild Infection
3392,Cucumber,Dark Green,5.4,94.59,38.39,Mild Infection
3393,Tomato,Dark Green,0.89,68.65,31.72,Healthy
3394,Pepper,Green,1.59,73.47,29.15,Healthy
3395,Tomato,Dark Green,3.42,46.47,23.0,Healthy
3396,Tomato,Green,5.1,59.05,23.26,Healthy
3397,Pepper,Dark Green,5.16,64.6,31.21,Mild Infection
3398,Pepper,Dark Green,8.51,67.33,39.83,Mild Infection
3399,Potato,Yellowish,6.28,61.84,29.87,Mild Infection
3400,Potato,Dark Green,7.9,87.74,35.73,Severe Infection
3401,Cucumber,Dark Green,1.74,44.45,26.87,Healthy
3402,Potato,Yellowish,6.41,59.04,39.46,Healthy
3403,Tomato,Dark Green,9.23,47.29,36.96,Healthy
3404,Potato,Green,1.75,73.34,34.83,Healthy
3405,Pepper,Yellowish,3.68,61.93,21.22,Mild Infection
3406,Cucumber,Green,9.63,41.42,20.97,Healthy
3407,Cucumber,Green,2.78,91.5,37.27,Healthy
3408,Pepper,Dark Green,6.03,40.02,18.39,Healthy
3409,Pepper,Yellowish,1.92,61.26,30.42,Healthy
3410,Tomato,Dark Green,6.19,66.65,34.59,Mild Infection
3411,Pepper,Green,0.75,63.67,21.75,Healthy
3412,Cucumber,Dark Green,6.92,54.6,21.91,Healthy
3413,Tomato,Yellowish,2.21,52.59,23.12,Healthy
3414,Tomato,Dark Green,8.87,63.43,20.88,Mild Infection
3415,Potato,Green,4.82,59.48,29.56,Healthy
3416,Pepper,Green,2.49,61.29,39.2,Healthy
3417,Potato,Yellowish,5.82,63.02,35.39,Mild Infection
3418,Pepper,Dark Green,3.24,50.43,31.62,Healthy
3419,Potato,Dark Green,0.65,74.61,22.37,Healthy
3420,Cucumber,Green,4.54,46.04,30.06,Healthy
3421,Cucumber,Yellowish,8.65,48.21,20.8,Healthy
3422,Cucumber,Dark Green,3.94,66.18,26.27,Mild Infection
3423,Potato,Dark Green,9.55,83.18,37.63,Severe Infection
3424,Tomato,Green,0.76,91.86,35.8,Healthy
3425,Tomato,Dark Green,7.81,91.17,23.57,Severe Infection
3426,Cucumber,Yellowish,4.5,67.25,26.5,Mild Infection
3427,Tomato,Yellowish,8.82,88.92,27.91,Severe Infection
3428,Tomato,Green,0.38,64.38,19.05,Healthy
3429,Pepper,Yellowish,1.05,76.25,35.65,Healthy
3430,Tomato,Green,4.62,67.97,26.53,Mild Infection
3431,Cucumber,Yellowish,7.84,93.39,38.73,Severe Infection
3432,Pepper,Yellowish,8.31,62.67,30.09,Mild Infection
3433,Cucumber,Dark Green,9.68,41.15,19.81,Healthy
3434,Pepper,Green,0.1,93.68,32.68,Healthy
3435,Cucumber,Dark Green,9.6,54.34,19.52,Healthy
3436,Pepper,Dark Green,1.25,89.27,25.09,Healthy
3437,Pepper,Dark Green,7.48,73.1,30.81,Mild Infection
3438,Cucumber,Dark Green,9.28,47.05,25.44,Healthy
3439,Pepper,Green,4.39,60.47,27.51,Mild Infection
3440,Tomato,Dark Green,1.22,91.87,23.3,Healthy
3441,Cucumber,Yellowish,2.86,88.78,32.21,Healthy
3442,Cucumber,Dark Green,9.19,87.38,36.62,Severe Infection
3443,Potato,Green,8.42,81.53,28.13,Severe Infection
3444,Cucumber,Dark Green,1.77,82.7,32.44,Healthy
3445,Potato,Dark Green,0.43,94.16,38.62,Healthy
3446,Potato,Dark Green,8.18,47.25,33.97,Healthy
3447,Pepper,Yellowish,7.33,67.82,36.5,Mild Infection
3448,Pepper,Green,2.98,72.47,29.18,Healthy
3449,Pepper,Yellowish,6.36,77.89,37.21,Severe Infection
